image_id,file_name,num_objects,target_occlusion,actual_avg_occlusion,occlusion_level_label
1,synth_00001.png,39,0.0,0.0181,0%
2,synth_00002.png,41,0.0,0.0165,0%
3,synth_00003.png,13,0.0,0.0,0%
4,synth_00004.png,24,0.0,0.0069,0%
5,synth_00005.png,38,0.0,0.0212,0%
6,synth_00006.png,7,0.0,0.0,0%
7,synth_00007.png,49,0.0,0.0207,0%
8,synth_00008.png,1,0.0,0.0,0%
9,synth_00009.png,7,0.0,0.0,0%
10,synth_00010.png,23,0.0,0.0107,0%
11,synth_00011.png,16,0.0,0.0,0%
12,synth_00012.png,31,0.0,0.0186,0%
13,synth_00013.png,24,0.0,0.0112,0%
14,synth_00014.png,1,0.0,0.0,0%
15,synth_00015.png,28,0.0,0.0132,0%
16,synth_00016.png,2,0.0,0.0,0%
17,synth_00017.png,50,0.0,0.0222,0%
18,synth_00018.png,47,0.0,0.0174,0%
19,synth_00019.png,28,0.0,0.0147,0%
20,synth_00020.png,19,0.0,0.0035,0%
21,synth_00021.png,40,0.0,0.0269,0%
22,synth_00022.png,37,0.0,0.0257,0%
23,synth_00023.png,15,0.0,0.0002,0%
24,synth_00024.png,3,0.0,0.0,0%
25,synth_00025.png,45,0.0,0.0203,0%
26,synth_00026.png,20,0.0,0.0188,0%
27,synth_00027.png,49,0.0,0.0289,0%
28,synth_00028.png,16,0.0,0.0036,0%
29,synth_00029.png,25,0.0,0.0173,0%
30,synth_00030.png,10,0.0,0.0,0%
31,synth_00031.png,30,0.0,0.021,0%
32,synth_00032.png,2,0.0,0.0,0%
33,synth_00033.png,34,0.0,0.0145,0%
34,synth_00034.png,30,0.0,0.0151,0%
35,synth_00035.png,35,0.0,0.0117,0%
36,synth_00036.png,39,0.0,0.025,0%
37,synth_00037.png,41,0.0,0.023,0%
38,synth_00038.png,28,0.0,0.0109,0%
39,synth_00039.png,36,0.0,0.0183,0%
40,synth_00040.png,9,0.0,0.0,0%
41,synth_00041.png,48,0.0,0.0321,0%
42,synth_00042.png,10,0.0,0.0,0%
43,synth_00043.png,16,0.0,0.0,0%
44,synth_00044.png,17,0.0,0.0,0%
45,synth_00045.png,23,0.0,0.0118,0%
46,synth_00046.png,7,0.0,0.0,0%
47,synth_00047.png,41,0.0,0.0191,0%
48,synth_00048.png,17,0.0,0.0,0%
49,synth_00049.png,32,0.0,0.0293,0%
50,synth_00050.png,37,0.0,0.0147,0%
51,synth_00051.png,17,0.0,0.0,0%
52,synth_00052.png,42,0.0,0.0194,0%
53,synth_00053.png,38,0.0,0.0265,0%
54,synth_00054.png,20,0.0,0.0054,0%
55,synth_00055.png,4,0.0,0.0,0%
56,synth_00056.png,3,0.0,0.0,0%
57,synth_00057.png,44,0.0,0.0213,0%
58,synth_00058.png,25,0.0,0.0183,0%
59,synth_00059.png,20,0.0,0.0,0%
60,synth_00060.png,6,0.0,0.0,0%
61,synth_00061.png,7,0.0,0.0,0%
62,synth_00062.png,43,0.0,0.0267,0%
63,synth_00063.png,29,0.0,0.0276,0%
64,synth_00064.png,33,0.0,0.0206,0%
65,synth_00065.png,4,0.0,0.0,0%
66,synth_00066.png,49,0.0,0.0303,0%
67,synth_00067.png,40,0.0,0.0166,0%
68,synth_00068.png,25,0.0,0.0176,0%
69,synth_00069.png,30,0.0,0.0118,0%
70,synth_00070.png,20,0.0,0.0,0%
71,synth_00071.png,22,0.0,0.0015,0%
72,synth_00072.png,29,0.0,0.0158,0%
73,synth_00073.png,37,0.0,0.0209,0%
74,synth_00074.png,16,0.0,0.0,0%
75,synth_00075.png,4,0.0,0.0,0%
76,synth_00076.png,17,0.0,0.0051,0%
77,synth_00077.png,21,0.0,0.0118,0%
78,synth_00078.png,18,0.0,0.0069,0%
79,synth_00079.png,23,0.0,0.0169,0%
80,synth_00080.png,44,0.0,0.0281,0%
81,synth_00081.png,43,0.0,0.0271,0%
82,synth_00082.png,1,0.0,0.0,0%
83,synth_00083.png,34,0.0,0.0186,0%
84,synth_00084.png,1,0.0,0.0,0%
85,synth_00085.png,20,0.0,0.0066,0%
86,synth_00086.png,7,0.0,0.0,0%
87,synth_00087.png,31,0.0,0.0271,0%
88,synth_00088.png,49,0.0,0.0226,0%
89,synth_00089.png,20,0.0,0.0074,0%
90,synth_00090.png,1,0.0,0.0,0%
91,synth_00091.png,8,0.0,0.0,0%
92,synth_00092.png,37,0.0,0.0192,0%
93,synth_00093.png,15,0.0,0.0,0%
94,synth_00094.png,26,0.0,0.0264,0%
95,synth_00095.png,47,0.0,0.0197,0%
96,synth_00096.png,30,0.0,0.02,0%
97,synth_00097.png,21,0.0,0.0064,0%
98,synth_00098.png,17,0.0,0.0026,0%
99,synth_00099.png,32,0.0,0.0221,0%
100,synth_00100.png,21,0.0,0.0102,0%
101,synth_00101.png,27,0.0,0.0149,0%
102,synth_00102.png,45,0.0,0.022,0%
103,synth_00103.png,39,0.0,0.0261,0%
104,synth_00104.png,46,0.0,0.021,0%
105,synth_00105.png,6,0.0,0.0,0%
106,synth_00106.png,40,0.0,0.0211,0%
107,synth_00107.png,35,0.0,0.0249,0%
108,synth_00108.png,48,0.0,0.0274,0%
109,synth_00109.png,47,0.0,0.0205,0%
110,synth_00110.png,11,0.0,0.0,0%
111,synth_00111.png,8,0.0,0.0,0%
112,synth_00112.png,18,0.0,0.0016,0%
113,synth_00113.png,5,0.0,0.0,0%
114,synth_00114.png,8,0.0,0.0,0%
115,synth_00115.png,5,0.0,0.0,0%
116,synth_00116.png,45,0.0,0.0223,0%
117,synth_00117.png,25,0.0,0.0056,0%
118,synth_00118.png,11,0.0,0.0,0%
119,synth_00119.png,3,0.0,0.0,0%
120,synth_00120.png,6,0.0,0.0,0%
121,synth_00121.png,2,0.0,0.0,0%
122,synth_00122.png,4,0.0,0.0,0%
123,synth_00123.png,33,0.0,0.0103,0%
124,synth_00124.png,32,0.0,0.0174,0%
125,synth_00125.png,28,0.0,0.0126,0%
126,synth_00126.png,22,0.25,0.0554,25%
127,synth_00127.png,24,0.25,0.1651,25%
128,synth_00128.png,20,0.25,0.0849,25%
129,synth_00129.png,31,0.25,0.0407,25%
130,synth_00130.png,35,0.25,0.0959,25%
131,synth_00131.png,26,0.25,0.203,25%
132,synth_00132.png,39,0.25,0.0855,25%
133,synth_00133.png,13,0.25,0.075,25%
134,synth_00134.png,46,0.25,0.0948,25%
135,synth_00135.png,50,0.25,0.0677,25%
136,synth_00136.png,30,0.25,0.0867,25%
137,synth_00137.png,24,0.25,0.0472,25%
138,synth_00138.png,1,0.25,0.0,25%
139,synth_00139.png,2,0.25,0.0,25%
140,synth_00140.png,18,0.25,0.1222,25%
141,synth_00141.png,49,0.25,0.1321,25%
142,synth_00142.png,36,0.25,0.0987,25%
143,synth_00143.png,36,0.25,0.0368,25%
144,synth_00144.png,39,0.25,0.0594,25%
145,synth_00145.png,46,0.25,0.0444,25%
146,synth_00146.png,31,0.25,0.1268,25%
147,synth_00147.png,19,0.25,0.2264,25%
148,synth_00148.png,30,0.25,0.0603,25%
149,synth_00149.png,23,0.25,0.0761,25%
150,synth_00150.png,40,0.25,0.0844,25%
151,synth_00151.png,13,0.25,0.1654,25%
152,synth_00152.png,28,0.25,0.096,25%
153,synth_00153.png,49,0.25,0.0772,25%
154,synth_00154.png,6,0.25,0.0832,25%
155,synth_00155.png,7,0.25,0.185,25%
156,synth_00156.png,47,0.25,0.0598,25%
157,synth_00157.png,26,0.25,0.0803,25%
158,synth_00158.png,11,0.25,0.0597,25%
159,synth_00159.png,48,0.25,0.0873,25%
160,synth_00160.png,12,0.25,0.0438,25%
161,synth_00161.png,20,0.25,0.0582,25%
162,synth_00162.png,44,0.25,0.1049,25%
163,synth_00163.png,29,0.25,0.0514,25%
164,synth_00164.png,39,0.25,0.0665,25%
165,synth_00165.png,11,0.25,0.1209,25%
166,synth_00166.png,25,0.25,0.0393,25%
167,synth_00167.png,33,0.25,0.0744,25%
168,synth_00168.png,23,0.25,0.1472,25%
169,synth_00169.png,15,0.25,0.0347,25%
170,synth_00170.png,39,0.25,0.0772,25%
171,synth_00171.png,5,0.25,0.0734,25%
172,synth_00172.png,50,0.25,0.0449,25%
173,synth_00173.png,29,0.25,0.1314,25%
174,synth_00174.png,21,0.25,0.2427,25%
175,synth_00175.png,18,0.25,0.0503,25%
176,synth_00176.png,45,0.25,0.1272,25%
177,synth_00177.png,27,0.25,0.0353,25%
178,synth_00178.png,33,0.25,0.1299,25%
179,synth_00179.png,17,0.25,0.0719,25%
180,synth_00180.png,28,0.25,0.0349,25%
181,synth_00181.png,13,0.25,0.208,25%
182,synth_00182.png,23,0.25,0.0343,25%
183,synth_00183.png,43,0.25,0.0624,25%
184,synth_00184.png,17,0.25,0.1044,25%
