Method,Occlusion,Count MAE,Precision,Recall,F1,Mean IoU,Avg Time (ms)
GraphSeg,0%,33.8,0.389,0.94,0.547,0.912,35.76
GraphSeg,25%,9.6,0.489,0.664,0.552,0.827,49.3
GraphSeg,50%,5.0,0.433,0.5,0.458,0.849,59.0
GraphSeg,75%,12.0,0.491,0.343,0.394,0.764,65.4
Heuristic,0%,9.6,0.945,0.669,0.765,0.917,6.08
Heuristic,25%,33.0,0.4,0.025,0.047,0.731,1.6
Heuristic,50%,21.6,0.3,0.041,0.071,0.325,1.58
Heuristic,75%,29.6,0.05,0.004,0.008,0.152,1.46
RetailPrior,0%,33.8,0.389,0.94,0.547,0.912,36.44
RetailPrior,25%,8.4,0.502,0.665,0.564,0.827,50.08
RetailPrior,50%,5.2,0.439,0.495,0.459,0.847,65.7
RetailPrior,75%,12.6,0.522,0.358,0.416,0.75,66.5
Watershed,0%,10.8,0.5,0.306,0.373,0.759,4.0
Watershed,25%,29.6,0.739,0.155,0.242,0.769,2.5
Watershed,50%,20.6,0.75,0.124,0.203,0.628,2.2
Watershed,75%,29.8,0.7,0.038,0.072,0.655,2.0
