Method,Occlusion,Count MAE,Precision,Recall,F1,Mean IoU,Avg Time (ms)
GraphSeg,0%,33.45,0.386,0.927,0.541,0.915,38.6
GraphSeg,25%,12.45,0.448,0.687,0.528,0.843,58.315
GraphSeg,50%,3.9,0.439,0.529,0.464,0.827,58.545
GraphSeg,75%,10.9,0.453,0.36,0.387,0.773,62.38
Heuristic,0%,12.9,0.865,0.554,0.643,0.936,3.305
Heuristic,25%,27.6,0.468,0.121,0.166,0.613,1.835
Heuristic,50%,24.8,0.233,0.056,0.084,0.221,1.79
Heuristic,75%,27.9,0.162,0.031,0.05,0.136,1.77
RetailPrior,0%,30.65,0.379,0.886,0.525,0.897,90.135
RetailPrior,25%,10.7,0.47,0.687,0.547,0.841,59.555
RetailPrior,50%,4.1,0.469,0.525,0.482,0.815,58.585
RetailPrior,75%,11.05,0.453,0.361,0.386,0.765,62.935
Watershed,0%,10.3,0.52,0.349,0.41,0.772,3.525
Watershed,25%,23.4,0.658,0.186,0.272,0.79,2.515
Watershed,50%,22.85,0.668,0.127,0.19,0.743,2.145
Watershed,75%,27.85,0.858,0.064,0.111,0.71,2.185
